LAT,LOG,YEAR,Month,Street
41.879584753,-87.771228424,2020,3,MAYFIELD AVE
41.988910216,-87.794887242,2020,3,AVONDALE AVE
41.945397014,-87.805717124,2020,3,ADDISON ST
41.743427333,-87.632181132,2020,3,HOLLAND RD
41.726134979,-87.58217727,2020,3,93RD ST
41.86479134,-87.69571005,2020,3,CALIFORNIA BLVD
41.81396991,-87.686003434,2020,3,44TH ST
41.972110624,-87.713614063,2020,3,KIMBALL AVE
41.967563069,-87.767323601,2020,3,CENTRAL AVE
42.006361864,-87.806844343,2020,3,HARLEM AVE
41.967825991,-87.767624856,2020,3,CENTRAL AVE
41.90298492,-87.702380255,2020,3,DIVISION ST
41.78120045,-87.664406539,2020,3,ASHLAND AVE
41.745123714,-87.636024135,2020,3,82ND ST
41.853454518,-87.712533203,2020,3,ST LOUIS AVE
41.851021081,-87.623905048,2020,3,MICHIGAN AVE
41.990653972,-87.687088272,2020,3,PETERSON AVE
41.751172219,-87.605525498,2020,3,79TH ST
41.741370835,-87.638120187,2020,3,VINCENNES AVE
41.910934553,-87.654033883,2020,3,NORTH AVE
41.907082298,-87.677518638,2020,3,DAMEN AVE
41.76828206,-87.679735156,2020,3,BELL AVE
41.891326034,-87.732442146,2020,3,TRIPP AVE
41.743506098,-87.626896687,2020,3,83RD ST
41.920535169,-87.757123908,2020,3,LATROBE AVE
41.931897723,-87.72710503,2020,3,DIVERSEY AVE
41.789329323,-87.741645644,2020,3,CICERO AVE
41.706807862,-87.642771373,2020,3,103RD ST
41.703954875,-87.719565948,2020,3,104TH ST
42.002681048,-87.674386059,2020,3,WALLEN AVE
41.822972766,-87.677022207,2020,3,PERSHING RD
41.748607489,-87.566327203,2020,3,YATES BLVD
41.898955971,-87.720883081,2020,3,AUGUSTA BLVD
41.722257273,-87.585275565,2020,3,STONY ISLAND AVE
41.915253682,-87.726651005,2020,3,PULASKI RD
41.907243288,-87.695839872,2020,3,FAIRFIELD AVE
41.761083377,-87.633198074,2020,3,HARVARD AVE
41.749222614,-87.727899431,2020,3,79TH ST
41.699531533,-87.660532523,2020,3,107TH ST
41.990670826,-87.67213596,2020,3,PETERSON AVE
41.939417382,-87.709925116,2020,3,BELMONT AVE
41.880868996,-87.666938163,2020,3,ASHLAND AVE
41.715223933,-87.642983674,2020,3,98TH PL
